,Mkt-RF,SMB,HML
19260701,0.1,-0.24,-0.28
19260702,0.45,-0.32,-0.08
19260706,0.17,0.27,-0.35
19260707,0.09,-0.59,0.03
19260708,0.21,-0.36,0.15
19260709,-0.71,0.44,0.56
19260710,0.62,-0.5,-0.15
19260712,0.04,0.03,0.54
19260713,0.48,-0.26,-0.23
19260714,0.04,0.09,-0.48
19260715,-0.43,0.54,-0.3
19260716,0.53,0.01,-0.57
19260717,0.34,0.43,-0.63
19260719,-0.01,0.01,-0.49
19260720,-0.57,-0.23,0.16
19260721,-0.6,0.21,0.31
19260722,-0.73,-0.3,-0.17
19260723,-0.02,0.08,0.06
19260724,-0.14,0.44,-0.06
19260726,0.53,-0.38,-0.25
19260727,0.43,-0.45,0.26
19260728,1.09,0.04,-0.28
19260729,0.36,-0.61,-1.01
19260730,0.14,-0.47,0.55
19260731,0.46,-0.12,-0.17
19260802,0.84,-0.22,-0.03
19260803,0.47,-0.27,-0.6
19260804,-0.36,0.16,0.25
19260805,-0.09,0.01,0.73
19260806,0.68,0.08,0.16
19260807,0.46,0.08,-0.24
19260809,0.21,-0.04,-0.26
19260810,-1.4,0.34,0.21
19260811,-0.57,0.21,0.34
19260812,0.84,-0.77,0.42
19260813,0.58,-0.85,0.25
19260814,0.69,0.15,-0.36
19260816,0.07,0.23,0.7
19260817,-0.95,0.34,0.16
19260818,0.26,0.08,0.04
19260819,-0.6,0.12,0.1
19260820,-0.2,-0.36,0.42
19260821,0.32,-0.06,0.49
19260823,0.49,-0.48,0.62
19260824,-0.84,0.5,-0.09
19260825,-0.32,-0.43,0.28
19260826,0.53,0.09,0.5
19260827,0.35,0.13,-0.39
19260828,0.34,0.15,-0.06
19260830,0.3,0,0.42
19260831,0.58,-0.52,-0.04
19260901,0.55,0.52,-0.08
19260902,-0.06,-0.07,0.21
19260903,0.5,-0.3,0.03
19260907,0.59,-0.25,-0.24
19260908,-0.51,-0.1,0.08
19260909,-0.07,0.16,0.26
19260910,-0.83,0.09,-0.13
19260911,-0.44,0.32,0.13
19260913,-0.03,-0.11,0.5
19260914,0.9,-0.62,0.09
19260915,-0.21,0.4,-0.19
19260916,-0.18,-0.33,0.1
19260917,-1.01,-0.16,-0.28
19260918,0.7,-0.28,-0.11
19260920,-0.64,0.03,-0.01
19260921,0.3,-0.42,0.19
19260922,-0.13,0.05,-0.01
19260923,0.26,-0.16,0.06
19260924,0.62,-0.19,-0.03
19260925,0.21,0.02,-0.56
19260927,-0.12,0.14,0.39
19260928,0,-0.02,-0.35
19260929,-0.3,0.22,-0.19
19260930,0.3,-0.22,0.06
19261001,0.73,-0.27,-0.23
19261002,-0.1,-0.02,-0.08
19261004,-1.4,-0.1,-0.1
19261005,-1.1,0.44,-0.72
19261006,-0.56,-0.69,-0.28
19261007,-0.77,0.32,0.3
19261008,0.59,-0.36,0.58
19261009,-0.96,0.44,-0.05
19261011,-0.69,-0.08,-0.16
19261013,0.69,-0.31,-0.04
19261014,0.97,-0.47,1.08
19261015,-1.83,0.13,-0.29
19261016,-0.73,-0.34,0.42
19261018,0.7,-0.16,0.46
19261019,-1.06,0.4,-0.54
19261020,-0.25,-0.59,-1.17
19261021,1.53,-0.12,0.55
19261022,-0.4,0.44,0.2
19261023,0.54,0.5,0.19
19261025,-0.1,0.35,-0.03
19261026,0.32,0.02,0.3
19261027,1,-0.47,0.19
19261028,-0.08,0.69,0.2
19261029,-0.06,0.01,-0.33
19261030,-0.25,0.2,0.25
19261101,0.46,-0.11,-0.43
19261103,0.2,-0.24,-0.28
19261104,0.59,-0.15,0.69
19261105,0.07,-0.09,0.23
19261106,0.16,-0.29,0.05
19261108,0.52,-0.07,0.08
19261109,0.13,0.29,-0.49
19261110,-0.6,0.15,0.09
19261111,0.67,0.03,0.09
19261112,0.24,-0.03,-0.37
19261113,-0.24,0.12,-0.16
19261115,0.37,0.28,-0.25
19261116,0.15,-0.31,-0.06
19261117,-0.35,-0.35,0.46
19261118,-0.48,0.17,0.2
19261119,-0.64,0.56,0.07
19261120,0.4,0.01,0.12
19261122,0.57,0.16,-0.2
19261123,0.33,0.02,0.2
19261124,0.08,-0.22,0.2
19261126,0.2,-0.02,0.03
19261127,-0.15,-0.04,-0.28
19261129,-0.37,-0.13,0.06
19261130,0.26,0.03,-0.5
19261201,0.36,0.05,-0.34
19261202,0.51,-0.01,0.1
19261203,0.32,-0.05,0.06
19261204,-0.17,0.2,0.1
19261206,0.04,0.32,-0.37
19261207,-0.04,0.34,-0.51
19261208,-0.08,0.21,0.25
19261209,0.45,-0.15,0.44
19261210,0.35,-0.17,0.5
19261211,0.09,-0.1,-0.5
19261213,0.42,0.64,0
19261214,0.1,-0.09,0.14
19261215,0.17,-0.22,0.22
19261216,-0.63,-0.2,0.05
19261217,0.91,-0.75,0.68
19261218,0.42,-0.22,0.2
19261220,-0.31,0.08,-0.13
19261221,-0.03,-0.38,-0.19
19261222,0.02,-0.19,-0.53
19261223,0.28,0.01,-0.47
19261224,0.31,0.21,0.26
19261227,-0.22,-0.14,-0.4
19261228,-1.07,-0.07,-0.16
19261229,0.44,-0.16,-0.06
19261230,-0.35,0.44,0.1
19261231,0.33,0.3,0.67
19270103,-0.79,0.19,0.09
19270104,0.31,0.15,-0.67
19270105,0.14,0.43,-0.31
19270106,-0.17,0,0.07
19270107,0.3,-0.25,0.44
19270108,0.39,-0.18,0.27
19270110,0.14,0.02,0.16
19270111,-0.28,-0.36,0.87
19270112,0.07,-0.06,0.02
19270113,-0.04,0.2,-0.3
19270114,0.05,-0.85,0.92
19270115,0.13,0.1,0.83
19270117,-0.04,-0.18,0.77
19270118,-0.06,-0.22,0.01
19270119,0.61,-0.01,-0.77
19270120,-0.17,-0.3,0.13
19270121,-0.01,0.6,1.29
19270122,-0.36,0.26,0.34
19270124,-0.48,0.47,1.44
19270125,-1.07,-0.47,-1.29
19270126,0.19,0.12,0.48
19270127,-0.35,0,-0.42
19270128,0.16,0.16,0.76
19270129,0.73,-0.41,-0.29
19270131,0.61,0.12,-0.04
19270201,-0.01,0.53,1.11
19270202,0.7,-0.21,0.1
19270203,0.17,0.21,-0.07
19270204,0.37,0.12,1.38
19270205,-0.18,0.31,0.45
19270207,-0.13,0.64,0.47
19270208,0.1,0.19,1.03
19270209,0.04,-0.88,-0.57
19270210,0.08,0.28,-0.69
19270211,0.31,-0.44,-0.63
19270214,0.49,-0.14,-0.29
19270215,0.1,-0.27,-0.16
19270216,-0.02,0.01,1.55
19270217,0.24,0.07,0.86
19270218,0.32,-0.73,-0.12
19270219,0.01,0.38,-0.48
19270221,-0.17,0.19,-0.9
19270223,0.72,-0.33,-0.13
19270224,0.14,0.35,0.09
19270225,0.21,0.24,-0.33
19270226,0.07,-0.19,-0.05
19270228,0.55,-0.38,0.24
19270301,-0.4,-0.03,-0.55
19270302,-1.14,-0.14,-0.33
19270303,1.02,-0.05,0.05
19270304,-0.45,0.22,-0.16
19270305,-0.24,0.6,-0.46
19270307,-0.37,-0.1,-0.58
19270308,0.12,-0.53,-0.34
19270309,0.49,0.17,0.34
19270310,0.46,0.1,0.46
19270311,0.17,-0.25,0.24
19270312,-0.04,-0.06,-0.19
19270314,0.18,0.04,-0.78
19270315,-0.81,-0.1,-0.44
19270316,1.02,-0.5,-0.06
19270317,0.42,-0.31,-0.41
19270318,-0.79,0.11,-0.42
19270319,0.04,0.01,-0.21
19270321,0.17,-0.54,0.05
19270322,-1.06,0.17,-0.54
19270323,0.19,0.01,0.51
19270324,0.68,-0.04,0.06
19270325,0.16,0.45,-0.33
19270326,0.34,0.14,0.18
19270328,0.52,-0.24,0.07
19270329,-0.23,-0.09,-0.41
19270330,-0.62,0.11,1.25
19270331,0.3,-0.85,0.55
19270401,-0.05,-0.19,-0.31
19270402,-0.08,0.19,0.02
19270404,0.53,-0.21,1.12
19270405,0.59,-0.3,0.01
19270406,0.11,-0.1,-0.04
19270407,0.24,-0.35,0.33
19270408,0.31,0.35,-0.05
19270409,0.03,-0.13,0.29
19270411,0.19,0,-0.15
19270412,-0.29,0.57,-0.12
19270413,0.21,0.13,-1.14
19270414,0.09,0.37,-0.2
19270416,0.18,0.55,0.18
19270418,-0.03,-0.17,0.75
19270419,0.18,-0.08,0.32
19270420,0.27,-0.37,0.94
19270421,0.36,-0.25,-0.76
19270422,0.07,-0.34,0.04
19270423,-0.37,0.24,0
19270425,-1.56,0.08,0.1
19270426,0.58,0.04,-0.43
19270427,-0.38,0.07,0.2
19270428,-1.11,0.19,-0.35
19270429,0.48,0,-0.18
19270430,-0.01,0.21,-0.07
19270502,0.27,0.22,0.48
19270503,0.74,0.02,-0.64
19270504,0.78,-0.16,0.15
19270505,0.3,0.3,-0.28
19270506,0.28,-0.13,0.87
19270507,0.28,0.26,-0.45
19270509,0.2,0.08,0.39
19270510,-0.07,-0.12,0.13
19270511,-0.14,-0.03,0.04
19270512,-0.11,-0.33,0.37
