Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.900000,30.110001,29.900000,30.000000,25.782171,5443900
2010-01-05,30.010000,30.139999,29.820000,30.110001,25.876715,6162200
2010-01-06,30.090000,30.219999,30.020000,30.150000,25.911091,4246900
2010-01-07,30.340000,30.410000,30.139999,30.400000,26.125937,5736700
2010-01-08,30.290001,30.410000,30.120001,30.389999,26.117344,6438000
2010-01-11,30.450001,30.540001,30.170000,30.330000,26.065777,4173500
2010-01-12,30.150000,30.219999,29.820000,29.940001,25.730612,5473400
2010-01-13,30.059999,30.330000,29.959999,30.280001,26.022810,4615800
2010-01-14,30.190001,30.320000,30.129999,30.280001,26.022810,5640300
2010-01-15,30.219999,30.340000,29.879999,29.980000,25.764986,5889500
2010-01-19,30.129999,30.379999,29.860001,30.379999,26.108746,4418500
2010-01-20,30.139999,30.180000,29.809999,29.969999,25.756393,5028100
2010-01-21,29.980000,30.250000,29.540001,29.590000,25.429808,6786600
2010-01-22,29.469999,29.700001,29.000000,29.020000,24.939955,10092100
2010-01-25,29.209999,29.299999,28.980000,29.170000,25.068869,5311600
2010-01-26,29.020000,29.410000,28.959999,29.209999,25.103243,5506900
2010-01-27,29.219999,29.360001,28.959999,29.260000,25.146215,7041800
2010-01-28,29.389999,29.530001,28.920000,29.090000,25.000116,6291600
2010-01-29,29.160000,29.490000,28.889999,28.910000,24.845415,7362200
2010-02-01,28.969999,29.280001,28.940001,29.280001,25.163399,8877100
2010-02-02,29.350000,29.700001,29.180000,29.690001,25.515760,5493700
2010-02-03,29.610001,29.780001,29.530001,29.709999,25.532942,4863400
2010-02-04,29.469999,29.540001,28.840000,28.850000,24.793859,10126200
2010-02-05,28.840000,28.969999,28.209999,28.770000,24.725101,8303900
2010-02-08,28.830000,29.059999,28.590000,28.590000,24.570414,6376900
2010-02-09,28.840000,29.209999,28.740000,29.030001,24.948553,6904900
2010-02-10,29.059999,29.070000,28.660000,28.910000,24.845415,5566300
2010-02-11,28.830000,29.250000,28.650000,29.250000,25.137621,5827600
2010-02-12,28.910000,29.250000,28.850000,29.250000,25.137621,6334400
2010-02-16,29.559999,29.719999,29.280001,29.719999,25.541538,4520900
2010-02-17,29.850000,29.959999,29.680000,29.959999,25.747795,4630800
2010-02-18,29.889999,30.160000,29.799999,30.150000,25.911091,5917600
2010-02-19,30.170000,30.320000,30.010000,30.219999,25.971245,5750000
2010-02-22,30.309999,30.350000,30.150000,30.209999,25.962646,3557200
2010-02-23,30.150000,30.320000,29.930000,30.030001,25.807953,5725300
2010-02-24,30.170000,30.450001,30.040001,30.420000,26.143124,6336000
2010-02-25,29.900000,30.480000,29.900000,30.469999,26.186090,5719000
2010-02-26,30.480000,30.600000,30.299999,30.520000,26.229071,6311200
2010-03-01,30.670000,31.020000,30.580000,31.000000,26.641579,8155100
2010-03-02,31.049999,31.129999,30.840000,30.840000,26.504076,11935500
2010-03-03,30.940001,31.139999,30.799999,30.930000,26.581423,5254900
2010-03-04,31.040001,31.260000,30.990000,31.209999,26.822058,4601100
2010-03-05,31.440001,31.870001,31.320000,31.790001,27.320511,4801600
2010-03-08,31.799999,31.910000,31.660000,31.870001,27.389259,4498300
2010-03-09,31.760000,31.969999,31.709999,31.820000,27.346300,5552400
2010-03-10,31.850000,32.000000,31.750000,31.889999,27.406450,5215900
2010-03-11,31.770000,32.119999,31.730000,32.119999,27.604116,5052100
2010-03-12,32.220001,32.240002,32.000000,32.209999,27.681463,3636900
2010-03-15,32.110001,32.299999,31.940001,32.169998,27.647085,4926100
2010-03-16,32.169998,32.430000,32.169998,32.410000,27.853342,5085500
2010-03-17,32.580002,32.639999,32.419998,32.570000,27.990849,5350500
2010-03-18,32.570000,32.700001,32.529999,32.560001,27.982252,6316200
2010-03-19,32.400002,32.730000,32.220001,32.400002,27.897877,4925400
2010-03-22,32.099998,32.810001,32.080002,32.740002,28.190626,5077400
2010-03-23,32.830002,32.930000,32.549999,32.869999,28.302557,6255200
2010-03-24,32.689999,32.840000,32.590000,32.740002,28.190626,5829200
2010-03-25,32.980000,33.290001,32.889999,32.930000,28.354229,5544900
2010-03-26,32.980000,33.259998,32.880001,33.060001,28.466158,6112800
2010-03-29,33.230000,33.250000,32.959999,33.110001,28.509211,5478400
2010-03-30,33.130001,33.240002,32.939999,33.080002,28.483383,4150200
2010-03-31,33.000000,33.009998,32.779999,32.840000,28.276730,8236200
2010-04-01,33.009998,33.200001,32.840000,33.070000,28.474770,5909000
2010-04-05,33.200001,33.500000,33.070000,33.470001,28.819193,5628800
2010-04-06,33.400002,33.580002,33.290001,33.520000,28.862236,3415300
2010-04-07,33.439999,33.540001,33.150002,33.400002,28.758915,4767700
2010-04-08,33.240002,33.770000,33.209999,33.720001,29.034449,8560900
2010-04-09,33.779999,34.000000,33.580002,33.970001,29.249716,4365600
2010-04-12,33.970001,34.070000,33.930000,33.970001,29.249716,3807500
2010-04-13,33.930000,34.250000,33.869999,34.150002,29.404703,5874200
2010-04-14,34.279999,34.720001,34.180000,34.680000,29.861050,5078700
2010-04-15,34.619999,34.889999,34.570000,34.830002,29.990215,6723300
2010-04-16,34.720001,34.820000,34.150002,34.369999,29.594130,12105400
2010-04-19,34.299999,34.520000,33.930000,34.430000,29.645786,9300300
2010-04-20,34.669998,34.880001,34.580002,34.849998,30.007423,9344300
2010-04-21,34.849998,35.070000,34.709999,35.009998,30.145195,11293200
2010-04-22,34.860001,35.669998,34.700001,35.639999,30.687658,3362200
2010-04-23,35.630001,35.790001,35.459999,35.669998,30.713493,6154100
2010-04-26,35.830002,36.130001,35.709999,35.950001,30.954576,7600100
2010-04-27,35.910000,35.910000,34.810001,34.910000,30.059093,17206800
2010-04-28,35.020000,35.110001,34.549999,34.790001,29.955772,10607100
2010-04-29,34.950001,35.630001,34.950001,35.560001,30.618773,8474500
2010-04-30,35.529999,35.720001,34.799999,34.820000,29.981602,10761300
2010-05-03,34.990002,35.689999,34.900002,35.520000,30.584330,7932600
2010-05-04,35.119999,35.200001,34.330002,34.480000,29.688847,15789800
2010-05-05,34.189999,34.500000,33.779999,33.990002,29.266935,26340900
2010-05-06,33.740002,34.070000,31.030001,32.779999,28.225069,30872900
2010-05-07,32.639999,33.130001,31.629999,32.180000,27.708439,29681900
2010-05-10,33.770000,33.959999,33.490002,33.860001,29.155001,16425800
2010-05-11,33.520000,34.349998,33.419998,33.849998,29.146387,12564300
2010-05-12,34.060001,34.389999,33.840000,34.340000,29.568296,10334600
2010-05-13,34.259998,34.330002,33.540001,33.570000,28.905285,10450300
2010-05-14,33.299999,33.459999,32.750000,33.009998,28.423107,14208800
2010-05-17,33.119999,33.290001,32.380001,33.259998,28.638367,13440900
2010-05-18,33.490002,33.599998,32.490002,32.639999,28.104521,15773500
2010-05-19,32.430000,32.730000,31.860001,32.439999,27.932314,15400900
2010-05-20,31.690001,31.930000,31.120001,31.180000,26.847399,18532500
2010-05-21,30.600000,31.900000,30.340000,31.730000,27.320972,19606400
2010-05-24,31.700001,31.959999,31.450001,31.510000,27.131540,14054800
2010-05-25,30.770000,31.830000,30.480000,31.830000,27.407074,14186700
2010-05-26,32.029999,32.400002,31.600000,31.730000,27.320972,13336400
2010-05-27,32.450001,32.869999,32.150002,32.869999,28.302557,10730500
